어필,appeal
업로드,upload
에고이즘,egoism
에나멜,enamel
에너지,energy
에러,error
에로스,Eros
에로티시즘,eroticism
에세이,essay
에스오에스,SOS
에스컬레이터,escalator
에스코트,escort
에스파냐,Espaa
에어로빅,aerobic
에어백,air bag
에어컨,air conditioner
에어컨디셔너,air conditioner
에이스,ace
에이즈,AIDS
에이커,acre
에콰도르,Ecuador
에티오피아,Ethiopia
에티켓,tiquette
에피소드,episode
엑스레이,Xray
엑스트라,extra
엑스포,Expo
엔,en
엔도르핀,endorphin
엔지,NG
엔지니어,engineer
엔지니어링,engineering
엔진,engine
엔트리,entry
엘리베이터,elevator
엘리트,lite
엘살바도르,El Salvador
엠시,MC
엠티,MT
예멘,Yemen
예수,Jesus
옐로카드,yellow card
오더,order
오뎅,oden
오디션,audition
오디오,audio
오랑우탄,orangutan
오렌지,orange
오로라,aurora
오르간,organ
오리엔테이션,orientation
오리지널,original
오므라이스,omelet rice
오믈렛,omelet
오보에,oboe
오븐,oven
오세아니아,Oceania
오스트레일리아,Australia
오스트리아,Austria
오아시스,oasis
오존,ozone
오케스트라,orchestra
오크,oak
오토바이,auto bicycle
오퍼,offer
오페라,opera
오프라인,off-line
오피스텔,office hotel
옥타브,octave
온라인,on-line
온스,ounce
올드미스,old miss
올리브,olive
올림픽,Olympics
옵션,option
와사비,wasabi
와이셔츠,white shirt
와이어,wire
와이퍼,wiper
와인,wine
와트,watt
왁스,wax
왈츠,waltz
요가,yoga
요구르트,yogurt
요르단,Jordan
요요,yoyo
요트,yacht
우간다,Uganda
우동,udon
우라늄,uranium
우루과이,Uruguay
우즈베키스탄,Uzbekistan
우크라이나,Ukraine
울,wool
워크숍,workshop
원룸,one-room
원피스,one-piece
월드컵,World Cup
웨딩드레스,wedding dress
웨이터,waiter
웹,web
위스키,whiskey
위트,wit
윙크,wink
유니버시아드,Universiade
유니콘,unicorn
유니폼,uniform
유럽,Europe
유로,Euro
유머,humor
유스 호스텔,youth hostel
유에프오,UFO
유엔,UN
유턴,U-turn
유토피아,Utopia
이구아나,iguana
이니셜,initial
이닝,inning
이데아,Idea
이데올로기,Ideologie
이라크,Iraq
이란,Iran
이메일,email
이미지,image
이벤트,event
이브,eve
이슈,issue
이스라엘,Israel
이스트,yeast
이어폰,earphone
이온,ion
이집트,Egypt
이탈리아,Italia
인도네시아,Indonesia
인센티브,incentive
인슐린,insulin
인스턴트,instant
인치,inch
인터넷,internet
인터뷰,interview
인터체인지,interchange
인터폰,interphone
인턴,intern
인테리어,interior
인플레,inflation
인플레이션,inflation
인플루엔자,influenza
일러스트레이션,illustration
잉꼬,inko
잉크,ink
자메이카,Jamaica
자몽,zamboa
자장면,zhajiangmian
잠바,jumper
잠비아,Zambia
장르,genre
재즈,jazz
재킷,jacket
잼,jam
저널리스트,journalist
저널리즘,journalism
점퍼,jumper
점프,jump
정글,jungle
제로,zero
제스처,gesture
젤라틴,gelatin
젤리,jelly
조깅,jogging
조끼,chokki
조크,joke
주스,juice
지그재그,zigzag
지단,jidan
지로,giro
지퍼,zipper
지프,jeep
집시,Gypsy
징크스,jinx
짜장면,zhajiangmian
짬뽕,champon
찌찌,chichi
차트,chart
채널,channel
채팅,chatting
채플,chapel
챔피언,champion
체스,chess
체인,chain
체코,Czech
체크,check
체크아웃,check-out
체크인,check-in
체크 카드,check card
첼로,cello
첼리스트,cellist
초콜릿,chocolate
치즈,cheese
치킨,chicken
치타,cheetah
칠레,Chile
침팬지,chimpanzee
칩,chip
카나리아,canaria
카네이션,carnation
카누,canoe
카드,card
카디건,cardigan
카레,curry
카레라이스,curried rice
카리스마,charisma
카메라,camera
카메라맨,cameraman
카메룬,Cameroon
카멜레온,chameleon
카세트,cassette
카세트테이프,cassette tape
카우보이,cowboy
카운슬러,counselor
카운슬링,counseling
카운터,counter
카자흐스탄,Kazakhstan
카타르,Qatar
카탈로그,catalog
카투사,KATUSA
카페,caf
카페인,caffeine
카펫,carpet
카폰,car phone
카피,copy
칵테일,cocktail
칼라,collar
칼럼,column
칼럼니스트,columnist
칼로리,calorie
칼슘,calcium
캄보디아,Cambodia
캐나다,Canada
캐러멜,caramel
캐럴,carol
캐럿,carat
캐릭터,character
캐미솔,camisole
캐비닛,cabinet
캐스터,caster
캐스터네츠,castanets
캐스팅,casting
캔,can
캔디,candy
캔버스,canvas
캘린더,calendar
캠퍼스,campus
캠페인,campaign
캠프,camp
캠프파이어,campfire
캠핑,camping
캡,cap
캡슐,capsule
캥거루,kangaroo
커닝,cunning
커리큘럼,curriculum
