표제어,동형어 번호,구분,품사,고유어 여부,원어
양도하다,0,단어,동사,혼종어,讓渡하다
양딸,0,단어,명사,혼종어,養딸
양띠,0,단어,명사,혼종어,羊띠
양력,0,단어,명사,한자어,陽曆
양력설,0,단어,명사,혼종어,陽曆설
양로원,0,단어,명사,한자어,養老院
양립,0,단어,명사,한자어,兩立
양립,0,단어,명사,한자어,兩立
양립되다,0,단어,동사,혼종어,兩立되다
양립되다,0,단어,동사,혼종어,兩立되다
양립하다,0,단어,동사,혼종어,兩立하다
양립하다,0,단어,동사,혼종어,兩立하다
양말,0,단어,명사,한자어,洋襪/洋韈
양면,0,단어,명사,한자어,兩面
양면,0,단어,명사,한자어,兩面
양면,0,단어,명사,한자어,兩面
양면성,0,단어,명사,한자어,兩面性
양모,1,단어,명사,한자어,羊毛
양모,2,단어,명사,한자어,養母
양반,0,단어,명사,한자어,兩班
양반,0,단어,명사,한자어,兩班
양반,0,단어,명사,한자어,兩班
양반,0,단어,명사,한자어,兩班
양반,0,단어,명사,한자어,兩班
양반,0,부표제어,명사,,
양반다리,0,단어,명사,혼종어,兩班다리
양방,0,단어,명사,한자어,兩方
양배추,0,단어,명사,혼종어,洋배추
양변기,0,단어,명사,한자어,洋便器
양보,0,단어,명사,한자어,讓步
양보,0,단어,명사,한자어,讓步
양보,0,단어,명사,한자어,讓步
양보하다,0,단어,동사,혼종어,讓步하다
양보하다,0,단어,동사,혼종어,讓步하다
양보하다,0,단어,동사,혼종어,讓步하다
양복,0,단어,명사,한자어,洋服
양봉,0,단어,명사,한자어,養蜂
양부,0,단어,명사,한자어,養父
양부모,0,단어,명사,한자어,養父母
양분,1,단어,명사,한자어,兩分
양분,2,단어,명사,한자어,養分
양분되다,0,단어,동사,혼종어,兩分되다
양분하다,0,단어,동사,혼종어,兩分하다
양산,1,단어,명사,한자어,陽傘
양산,2,단어,명사,한자어,量産
양산되다,0,단어,동사,혼종어,量産되다
양산하다,0,단어,동사,혼종어,量産하다
